E=6.60000keV N_total=389751 N_map=389374
 
x(mm)   y(mm)  counts_per_0.1x0.1mm^2_pixel
      22.6500      38.9750           0
      22.6500      39.0750           0
      22.6500      39.1750           0
      22.6500      39.2750           0
      22.6500      39.3750           0
      22.6500      39.4750           0
      22.6500      39.5750           0
      22.6500      39.6750           0
      22.6500      39.7750           0
      22.6500      39.8750           0
      22.6500      39.9750           0
      22.7500      20.0750           0
      22.7500      20.1750           0
      22.7500      20.2750           0
      22.7500      20.3750           0
      22.7500      20.4750           0
      22.7500      20.5750           0
      22.7500      20.6750           0
      22.7500      20.7750           0
      22.7500      20.8750           0
      22.7500      20.9750           0
      22.7500      21.0750           0
      22.7500      21.1750           0
      22.7500      21.2750           0
      22.7500      21.3750           0
      22.7500      21.4750           0
      22.7500      21.5750           0
      22.7500      21.6750           0
      22.7500      21.7750           0
      22.7500      21.8750           0
      22.7500      21.9750           0
      22.7500      22.0750           0
      22.7500      22.1750           0
      22.7500      22.2750           0
      22.7500      22.3750           0
      22.7500      22.4750           0
      22.7500      22.5750           0
      22.7500      22.6750           0
      22.7500      22.7750           0
      22.7500      22.8750           0
      22.7500      22.9750           0
      22.7500      23.0750           0
      22.7500      23.1750           0
      22.7500      23.2750           0
      22.7500      23.3750           0
      22.7500      23.4750           0
      22.7500      23.5750           0
      22.7500      23.6750           0
      22.7500      23.7750           0
      22.7500      23.8750           0
      22.7500      23.9750           0
      22.7500      24.0750           0
      22.7500      24.1750           0
      22.7500      24.2750           0
      22.7500      24.3750           0
      22.7500      24.4750           0
      22.7500      24.5750           0
      22.7500      24.6750           0
      22.7500      24.7750           0
      22.7500      24.8750           0
      22.7500      24.9750           0
      22.7500      25.0750           0
      22.7500      25.1750           0
      22.7500      25.2750           0
      22.7500      25.3750           0
      22.7500      25.4750           0
      22.7500      25.5750           0
      22.7500      25.6750           0
      22.7500      25.7750           0
      22.7500      25.8750           0
      22.7500      25.9750           0
      22.7500      26.0750           0
      22.7500      26.1750           0
      22.7500      26.2750           0
      22.7500      26.3750           0
      22.7500      26.4750           0
      22.7500      26.5750           0
      22.7500      26.6750           0
      22.7500      26.7750           0
      22.7500      26.8750           0
      22.7500      26.9750           0
      22.7500      27.0750           0
      22.7500      27.1750           0
      22.7500      27.2750           0
      22.7500      27.3750           0
      22.7500      27.4750           0
      22.7500      27.5750           0
      22.7500      27.6750           0
      22.7500      27.7750           0
      22.7500      27.8750           0
      22.7500      27.9750           0
      22.7500      28.0750           0
      22.7500      28.1750           1
      22.7500      28.2750           0
      22.7500      28.3750           1
      22.7500      28.4750           1
      22.7500      28.5750           0
      22.7500      28.6750           0
      22.7500      28.7750           2
      22.7500      28.8750           2
      22.7500      28.9750           1
      22.7500      29.0750           0
      22.7500      29.1750           0
      22.7500      29.2750           2
      22.7500      29.3750           0
      22.7500      29.4750           1
      22.7500      29.5750           3
      22.7500      29.6750           1
      22.7500      29.7750           1
      22.7500      29.8750           2
      22.7500      29.9750           1
      22.7500      30.0750           0
      22.7500      30.1750           2
      22.7500      30.2750           2
      22.7500      30.3750           1
      22.7500      30.4750           0
      22.7500      30.5750           1
      22.7500      30.6750           3
      22.7500      30.7750           1
      22.7500      30.8750           3
      22.7500      30.9750           1
      22.7500      31.0750           1
      22.7500      31.1750           0
      22.7500      31.2750           2
      22.7500      31.3750           5
      22.7500      31.4750           0
      22.7500      31.5750           0
      22.7500      31.6750           1
      22.7500      31.7750           0
      22.7500      31.8750           0
      22.7500      31.9750           1
      22.7500      32.0750           2
      22.7500      32.1750           2
      22.7500      32.2750           0
      22.7500      32.3750           0
      22.7500      32.4750           1
      22.7500      32.5750           1
      22.7500      32.6750           2
      22.7500      32.7750           0
      22.7500      32.8750           0
      22.7500      32.9750           0
      22.7500      33.0750           1
      22.7500      33.1750           0
      22.7500      33.2750           0
      22.7500      33.3750           1
      22.7500      33.4750           0
      22.7500      33.5750           1
      22.7500      33.6750           0
      22.7500      33.7750           0
      22.7500      33.8750           0
      22.7500      33.9750           0
      22.7500      34.0750           0
      22.7500      34.1750           0
      22.7500      34.2750           0
      22.7500      34.3750           0
      22.7500      34.4750           0
      22.7500      34.5750           0
      22.7500      34.6750           0
      22.7500      34.7750           0
      22.7500      34.8750           0
      22.7500      34.9750           0
      22.7500      35.0750           0
      22.7500      35.1750           0
      22.7500      35.2750           0
      22.7500      35.3750           0
      22.7500      35.4750           0
      22.7500      35.5750           0
      22.7500      35.6750           0
      22.7500      35.7750           0
      22.7500      35.8750           0
      22.7500      35.9750           0
      22.7500      36.0750           0
      22.7500      36.1750           0
      22.7500      36.2750           0
      22.7500      36.3750           0
      22.7500      36.4750           0
      22.7500      36.5750           0
      22.7500      36.6750           0
      22.7500      36.7750           0
      22.7500      36.8750           0
      22.7500      36.9750           0
      22.7500      37.0750           0
      22.7500      37.1750           0
      22.7500      37.2750           0
      22.7500      37.3750           0
      22.7500      37.4750           0
      22.7500      37.5750           0
      22.7500      37.6750           0
      22.7500      37.7750           0
      22.7500      37.8750           0
      22.7500      37.9750           0
      22.7500      38.0750           0
      22.7500      38.1750           0
      22.7500      38.2750           0
      22.7500      38.3750           0
      22.7500      38.4750           0
      22.7500      38.5750           0
      22.7500      38.6750           0
      22.7500      38.7750           0
      22.7500      38.8750           0
      22.7500      38.9750           0
      22.7500      39.0750           0
      22.7500      39.1750           0
      22.7500      39.2750           0
      22.7500      39.3750           0
      22.7500      39.4750           0
      22.7500      39.5750           0
      22.7500      39.6750           0
      22.7500      39.7750           0
      22.7500      39.8750           0
      22.7500      39.9750           0
      22.8500      20.0750           0
      22.8500      20.1750           0
      22.8500      20.2750           0
      22.8500      20.3750           0
      22.8500      20.4750           0
      22.8500      20.5750           0
      22.8500      20.6750           0
      22.8500      20.7750           0
      22.8500      20.8750           0
      22.8500      20.9750           0
      22.8500      21.0750           0
      22.8500      21.1750           0
      22.8500      21.2750           0
      22.8500      21.3750           0
      22.8500      21.4750           0
      22.8500      21.5750           0
      22.8500      21.6750           0
      22.8500      21.7750           0
      22.8500      21.8750           0
      22.8500      21.9750           0
      22.8500      22.0750           0
      22.8500      22.1750           0
      22.8500      22.2750           0
      22.8500      22.3750           0
      22.8500      22.4750           0
      22.8500      22.5750           0
      22.8500      22.6750           0
      22.8500      22.7750           0
      22.8500      22.8750           0
      22.8500      22.9750           0
      22.8500      23.0750           0
      22.8500      23.1750           0
      22.8500      23.2750           0
      22.8500      23.3750           0
      22.8500      23.4750           0
      22.8500      23.5750           0
      22.8500      23.6750           0
      22.8500      23.7750           0
      22.8500      23.8750           0
      22.8500      23.9750           0
      22.8500      24.0750           0
      22.8500      24.1750           0
      22.8500      24.2750           0
      22.8500      24.3750           0
      22.8500      24.4750           0
      22.8500      24.5750           0
      22.8500      24.6750           0
      22.8500      24.7750           0
      22.8500      24.8750           0
      22.8500      24.9750           0
      22.8500      25.0750           0
      22.8500      25.1750           0
      22.8500      25.2750           0
      22.8500      25.3750           0
      22.8500      25.4750           0
      22.8500      25.5750           0
      22.8500      25.6750           0
      22.8500      25.7750           0
      22.8500      25.8750           0
      22.8500      25.9750           0
      22.8500      26.0750           0
      22.8500      26.1750           0
      22.8500      26.2750           0
      22.8500      26.3750           0
      22.8500      26.4750           0
      22.8500      26.5750           0
      22.8500      26.6750           0
      22.8500      26.7750           0
      22.8500      26.8750           0
      22.8500      26.9750           0
      22.8500      27.0750           0
      22.8500      27.1750           0
      22.8500      27.2750           0
      22.8500      27.3750           0
      22.8500      27.4750           0
      22.8500      27.5750           0
      22.8500      27.6750           0
      22.8500      27.7750           0
      22.8500      27.8750           0
      22.8500      27.9750           0
      22.8500      28.0750           0
      22.8500      28.1750           0
      22.8500      28.2750           0
      22.8500      28.3750           1
      22.8500      28.4750           0
      22.8500      28.5750           0
      22.8500      28.6750           0
      22.8500      28.7750           0
      22.8500      28.8750           0
      22.8500      28.9750           0
      22.8500      29.0750           1
      22.8500      29.1750           0
      22.8500      29.2750           1
      22.8500      29.3750           0
      22.8500      29.4750           0
      22.8500      29.5750           1
      22.8500      29.6750           3
      22.8500      29.7750           0
      22.8500      29.8750           2
      22.8500      29.9750           1
      22.8500      30.0750           0
      22.8500      30.1750           0
      22.8500      30.2750           1
      22.8500      30.3750           1
      22.8500      30.4750           1
      22.8500      30.5750           1
      22.8500      30.6750           0
      22.8500      30.7750           1
      22.8500      30.8750           2
      22.8500      30.9750           1
      22.8500      31.0750           2
      22.8500      31.1750           0
      22.8500      31.2750           2
      22.8500      31.3750           1
      22.8500      31.4750           1
      22.8500      31.5750           2
      22.8500      31.6750           0
      22.8500      31.7750           0
      22.8500      31.8750           1
      22.8500      31.9750           3
      22.8500      32.0750           1
      22.8500      32.1750           2
      22.8500      32.2750           0
      22.8500      32.3750           1
      22.8500      32.4750           1
      22.8500      32.5750           1
      22.8500      32.6750           1
      22.8500      32.7750           1
      22.8500      32.8750           0
      22.8500      32.9750           1
      22.8500      33.0750           0
      22.8500      33.1750           0
      22.8500      33.2750           0
      22.8500      33.3750           0
      22.8500      33.4750           1
      22.8500      33.5750           0
      22.8500      33.6750           0
      22.8500      33.7750           0
      22.8500      33.8750           0
      22.8500      33.9750           0
      22.8500      34.0750           0
      22.8500      34.1750           0
      22.8500      34.2750           0
      22.8500      34.3750           0
      22.8500      34.4750           0
      22.8500      34.5750           0
      22.8500      34.6750           0
      22.8500      34.7750           0
      22.8500      34.8750           0
      22.8500      34.9750           0
      22.8500      35.0750           0
      22.8500      35.1750           0
      22.8500      35.2750           0
      22.8500      35.3750           0
      22.8500      35.4750           0
      22.8500      35.5750           0
      22.8500      35.6750           0
      22.8500      35.7750           0
      22.8500      35.8750           0
      22.8500      35.9750           0
      22.8500      36.0750           0
      22.8500      36.1750           0
      22.8500      36.2750           0
      22.8500      36.3750           0
      22.8500      36.4750           0
      22.8500      36.5750           0
      22.8500      36.6750           0
      22.8500      36.7750           0
      22.8500      36.8750           0
      22.8500      36.9750           0
      22.8500      37.0750           0
      22.8500      37.1750           0
      22.8500      37.2750           0
      22.8500      37.3750           0
      22.8500      37.4750           0
      22.8500      37.5750           0
      22.8500      37.6750           0
      22.8500      37.7750           0
      22.8500      37.8750           0
      22.8500      37.9750           0
      22.8500      38.0750           0
      22.8500      38.1750           0
      22.8500      38.2750           0
      22.8500      38.3750           0
      22.8500      38.4750           0
      22.8500      38.5750           0
      22.8500      38.6750           0
      22.8500      38.7750           0
      22.8500      38.8750           0
      22.8500      38.9750           0
      22.8500      39.0750           0
      22.8500      39.1750           0
      22.8500      39.2750           0
      22.8500      39.3750           0
      22.8500      39.4750           0
      22.8500      39.5750           0
      22.8500      39.6750           0
      22.8500      39.7750           0
      22.8500      39.8750           0
      22.8500      39.9750           0
      22.9500      20.0750           0
      22.9500      20.1750           0
      22.9500      20.2750           0
      22.9500      20.3750           0
      22.9500      20.4750           0
      22.9500      20.5750           0
      22.9500      20.6750           0
      22.9500      20.7750           0
      22.9500      20.8750           0
      22.9500      20.9750           0
      22.9500      21.0750           0
      22.9500      21.1750           0
      22.9500      21.2750           0
      22.9500      21.3750           0
      22.9500      21.4750           0
      22.9500      21.5750           0
      22.9500      21.6750           0
      22.9500      21.7750           0
      22.9500      21.8750           0
      22.9500      21.9750           0
      22.9500      22.0750           0
      22.9500      22.1750           0
      22.9500      22.2750           0
      22.9500      22.3750           0
      22.9500      22.4750           0
      22.9500      22.5750           0
      22.9500      22.6750           0
      22.9500      22.7750           0
      22.9500      22.8750           0
      22.9500      22.9750           0
      22.9500      23.0750           0
      22.9500      23.1750           0
      22.9500      23.2750           0
      22.9500      23.3750           0
      22.9500      23.4750           0
      22.9500      23.5750           0
      22.9500      23.6750           0
      22.9500      23.7750           0
      22.9500      23.8750           0
      22.9500      23.9750           0
      22.9500      24.0750           0
      22.9500      24.1750           0
      22.9500      24.2750           0
      22.9500      24.3750           0
      22.9500      24.4750           0
      22.9500      24.5750           0
      22.9500      24.6750           0
      22.9500      24.7750           0
      22.9500      24.8750           0
      22.9500      24.9750           0
      22.9500      25.0750           0
      22.9500      25.1750           0
      22.9500      25.2750           0
      22.9500      25.3750           0
      22.9500      25.4750           0
      22.9500      25.5750           0
      22.9500      25.6750           0
      22.9500      25.7750           0
      22.9500      25.8750           0
      22.9500      25.9750           0
      22.9500      26.0750           0
      22.9500      26.1750           0
      22.9500      26.2750           0
      22.9500      26.3750           0
      22.9500      26.4750           0
      22.9500      26.5750           0
      22.9500      26.6750           0
      22.9500      26.7750           0
      22.9500      26.8750           0
      22.9500      26.9750           0
      22.9500      27.0750           0
      22.9500      27.1750           0
      22.9500      27.2750           0
      22.9500      27.3750           0
      22.9500      27.4750           0
      22.9500      27.5750           0
      22.9500      27.6750           0
      22.9500      27.7750           0
      22.9500      27.8750           0
      22.9500      27.9750           0
      22.9500      28.0750           0
      22.9500      28.1750           0
      22.9500      28.2750           0
      22.9500      28.3750           0
      22.9500      28.4750           0
      22.9500      28.5750           0
      22.9500      28.6750           0
      22.9500      28.7750           1
      22.9500      28.8750           0
      22.9500      28.9750           0
      22.9500      29.0750           0
      22.9500      29.1750           1
      22.9500      29.2750           1
      22.9500      29.3750           1
      22.9500      29.4750           2
      22.9500      29.5750           2
      22.9500      29.6750           1
      22.9500      29.7750           2
      22.9500      29.8750           1
      22.9500      29.9750           2
      22.9500      30.0750           1
      22.9500      30.1750           4
      22.9500      30.2750           2
      22.9500      30.3750           2
      22.9500      30.4750           1
      22.9500      30.5750           2
      22.9500      30.6750           1
      22.9500      30.7750           1
      22.9500      30.8750           2
      22.9500      30.9750           3
      22.9500      31.0750           1
      22.9500      31.1750           0
      22.9500      31.2750           0
      22.9500      31.3750           0
      22.9500      31.4750           0
      22.9500      31.5750           4
      22.9500      31.6750           0
      22.9500      31.7750           0
      22.9500      31.8750           1
      22.9500      31.9750           2
      22.9500      32.0750           0
      22.9500      32.1750           1
      22.9500      32.2750           2
      22.9500      32.3750           0
      22.9500      32.4750           2
      22.9500      32.5750           2
      22.9500      32.6750           1
      22.9500      32.7750           0
      22.9500      32.8750           0
      22.9500      32.9750           0
      22.9500      33.0750           0
      22.9500      33.1750           0
      22.9500      33.2750           0
      22.9500      33.3750           0
      22.9500      33.4750           0
      22.9500      33.5750           0
      22.9500      33.6750           0
      22.9500      33.7750           0
      22.9500      33.8750           0
      22.9500      33.9750           0
      22.9500      34.0750           0
      22.9500      34.1750           0
      22.9500      34.2750           0
      22.9500      34.3750           0
      22.9500      34.4750           0
      22.9500      34.5750           0
      22.9500      34.6750           0
      22.9500      34.7750           0
      22.9500      34.8750           0
      22.9500      34.9750           0
      22.9500      35.0750           0
      22.9500      35.1750           0
      22.9500      35.2750           0
      22.9500      35.3750           0
      22.9500      35.4750           0
      22.9500      35.5750           0
      22.9500      35.6750           0
      22.9500      35.7750           0
      22.9500      35.8750           0
      22.9500      35.9750           0
      22.9500      36.0750           0
      22.9500      36.1750           0
      22.9500      36.2750           0
      22.9500      36.3750           0
      22.9500      36.4750           0
      22.9500      36.5750           0
      22.9500      36.6750           0
      22.9500      36.7750           0
      22.9500      36.8750           0
      22.9500      36.9750           0
      22.9500      37.0750           0
      22.9500      37.1750           0
      22.9500      37.2750           0
      22.9500      37.3750           0
      22.9500      37.4750           0
      22.9500      37.5750           0
      22.9500      37.6750           0
      22.9500      37.7750           0
      22.9500      37.8750           0
      22.9500      37.9750           0
      22.9500      38.0750           0
      22.9500      38.1750           0
      22.9500      38.2750           0
      22.9500      38.3750           0
      22.9500      38.4750           0
      22.9500      38.5750           0
      22.9500      38.6750           0
      22.9500      38.7750           0
      22.9500      38.8750           0
      22.9500      38.9750           0
      22.9500      39.0750           0
      22.9500      39.1750           0
      22.9500      39.2750           0
      22.9500      39.3750           0
      22.9500      39.4750           0
      22.9500      39.5750           0
      22.9500      39.6750           0
      22.9500      39.7750           0
      22.9500      39.8750           0
      22.9500      39.9750           0
      23.0500      20.0750           0
      23.0500      20.1750           0
      23.0500      20.2750           0
      23.0500      20.3750           0
      23.0500      20.4750           0
      23.0500      20.5750           0
      23.0500      20.6750           0
      23.0500      20.7750           0
      23.0500      20.8750           0
      23.0500      20.9750           0
      23.0500      21.0750           0
      23.0500      21.1750           0
      23.0500      21.2750           0
      23.0500      21.3750           0
      23.0500      21.4750           0
      23.0500      21.5750           0
      23.0500      21.6750           0
      23.0500      21.7750           0
      23.0500      21.8750           0
      23.0500      21.9750           0
      23.0500      22.0750           0
      23.0500      22.1750           0
      23.0500      22.2750           0
      23.0500      22.3750           0
      23.0500      22.4750           0
      23.0500      22.5750           0
      23.0500      22.6750           0
      23.0500      22.7750           0
      23.0500      22.8750           0
      23.0500      22.9750           0
      23.0500      23.0750           0
      23.0500      23.1750           0
      23.0500      23.2750           0
      23.0500      23.3750           0
      23.0500      23.4750           0
      23.0500      23.5750           0
      23.0500      23.6750           0
      23.0500      23.7750           0
      23.0500      23.8750           0
      23.0500      23.9750           0
      23.0500      24.0750           0
      23.0500      24.1750           0
      23.0500      24.2750           0
      23.0500      24.3750           0
      23.0500      24.4750           0
      23.0500      24.5750           0
      23.0500      24.6750           0
      23.0500      24.7750           0
      23.0500      24.8750           0
      23.0500      24.9750           0
      23.0500      25.0750           0
      23.0500      25.1750           0
      23.0500      25.2750           0
      23.0500      25.3750           0
      23.0500      25.4750           0
      23.0500      25.5750           0
      23.0500      25.6750           0
      23.0500      25.7750           0
      23.0500      25.8750           0
      23.0500      25.9750           0
      23.0500      26.0750           0
      23.0500      26.1750           0
      23.0500      26.2750           0
      23.0500      26.3750           0
      23.0500      26.4750           0
      23.0500      26.5750           0
      23.0500      26.6750           0
      23.0500      26.7750           0
      23.0500      26.8750           0
      23.0500      26.9750           0
      23.0500      27.0750           0
      23.0500      27.1750           0
      23.0500      27.2750           0
      23.0500      27.3750           0
      23.0500      27.4750           0
      23.0500      27.5750           0
      23.0500      27.6750           0
      23.0500      27.7750           0
      23.0500      27.8750           0
      23.0500      27.9750           0
      23.0500      28.0750           0
      23.0500      28.1750           0
      23.0500      28.2750           0
      23.0500      28.3750           0
      23.0500      28.4750           0
      23.0500      28.5750           0
      23.0500      28.6750           0
      23.0500      28.7750           1
      23.0500      28.8750           1
      23.0500      28.9750           1
      23.0500      29.0750           0
      23.0500      29.1750           0
      23.0500      29.2750           0
      23.0500      29.3750           1
      23.0500      29.4750           2
      23.0500      29.5750           1
      23.0500      29.6750           1
      23.0500      29.7750           2
      23.0500      29.8750           3
      23.0500      29.9750           0
      23.0500      30.0750           1
      23.0500      30.1750           3
      23.0500      30.2750           2
      23.0500      30.3750           1
      23.0500      30.4750           2
      23.0500      30.5750           0
      23.0500      30.6750           2
      23.0500      30.7750           3
      23.0500      30.8750           0
      23.0500      30.9750           0
      23.0500      31.0750           0
      23.0500      31.1750           4
      23.0500      31.2750           2
      23.0500      31.3750           0
      23.0500      31.4750           4
      23.0500      31.5750           0
      23.0500      31.6750           0
      23.0500      31.7750           3
      23.0500      31.8750           3
      23.0500      31.9750           4
      23.0500      32.0750           1
      23.0500      32.1750           1
      23.0500      32.2750           2
      23.0500      32.3750           1
      23.0500      32.4750           2
      23.0500      32.5750           0
      23.0500      32.6750           1
      23.0500      32.7750           0
      23.0500      32.8750           0
      23.0500      32.9750           0
      23.0500      33.0750           0
      23.0500      33.1750           0
      23.0500      33.2750           0
      23.0500      33.3750           0
      23.0500      33.4750           0
      23.0500      33.5750           0
      23.0500      33.6750           0
      23.0500      33.7750           0
      23.0500      33.8750           0
      23.0500      33.9750           0
      23.0500      34.0750           0
      23.0500      34.1750           0
      23.0500      34.2750           0
      23.0500      34.3750           0
      23.0500      34.4750           0
      23.0500      34.5750           0
      23.0500      34.6750           0
      23.0500      34.7750           0
      23.0500      34.8750           0
      23.0500      34.9750           0
      23.0500      35.0750           0
      23.0500      35.1750           0
      23.0500      35.2750           0
      23.0500      35.3750           0
      23.0500      35.4750           0
      23.0500      35.5750           0
      23.0500      35.6750           0
      23.0500      35.7750           0
      23.0500      35.8750           0
      23.0500      35.9750           0
      23.0500      36.0750           0
      23.0500      36.1750           0
      23.0500      36.2750           0
      23.0500      36.3750           0
      23.0500      36.4750           0
      23.0500      36.5750           0
      23.0500      36.6750           0
      23.0500      36.7750           0
      23.0500      36.8750           0
      23.0500      36.9750           0
      23.0500      37.0750           0
      23.0500      37.1750           0
      23.0500      37.2750           0
      23.0500      37.3750           0
      23.0500      37.4750           0
      23.0500      37.5750           0
      23.0500      37.6750           0
      23.0500      37.7750           0
      23.0500      37.8750           0
      23.0500      37.9750           0
      23.0500      38.0750           0
      23.0500      38.1750           0
      23.0500      38.2750           0
      23.0500      38.3750           0
      23.0500      38.4750           0
      23.0500      38.5750           0
      23.0500      38.6750           0
      23.0500      38.7750           0
      23.0500      38.8750           0
      23.0500      38.9750           0
      23.0500      39.0750           0
      23.0500      39.1750           0
      23.0500      39.2750           0
      23.0500      39.3750           0
      23.0500      39.4750           0
      23.0500      39.5750           0
      23.0500      39.6750           0
      23.0500      39.7750           0
      23.0500      39.8750           0
      23.0500      39.9750           0
      23.1500      20.0750           0
      23.1500      20.1750           0
      23.1500      20.2750           0
      23.1500      20.3750           0
      23.1500      20.4750           0
      23.1500      20.5750           0
      23.1500      20.6750           0
      23.1500      20.7750           0
      23.1500      20.8750           0
      23.1500      20.9750           0
      23.1500      21.0750           0
      23.1500      21.1750           0
      23.1500      21.2750           0
      23.1500      21.3750           0
      23.1500      21.4750           0
      23.1500      21.5750           0
      23.1500      21.6750           0
      23.1500      21.7750           0
      23.1500      21.8750           0
      23.1500      21.9750           0
      23.1500      22.0750           0
      23.1500      22.1750           0
      23.1500      22.2750           0
      23.1500      22.3750           0
      23.1500      22.4750           0
      23.1500      22.5750           0
      23.1500      22.6750           0
      23.1500      22.7750           0
      23.1500      22.8750           0
      23.1500      22.9750           0
      23.1500      23.0750           0
      23.1500      23.1750           0
      23.1500      23.2750           0
      23.1500      23.3750           0
      23.1500      23.4750           0
      23.1500      23.5750           0
      23.1500      23.6750           0
      23.1500      23.7750           0
      23.1500      23.8750           0
      23.1500      23.9750           0
      23.1500      24.0750           0
      23.1500      24.1750           0
      23.1500      24.2750           0
      23.1500      24.3750           0
      23.1500      24.4750           0
      23.1500      24.5750           0
      23.1500      24.6750           0
      23.1500      24.7750           0
      23.1500      24.8750           0
      23.1500      24.9750           0
      23.1500      25.0750           0
      23.1500      25.1750           0
      23.1500      25.2750           0
      23.1500      25.3750           0
      23.1500      25.4750           0
      23.1500      25.5750           0
      23.1500      25.6750           0
      23.1500      25.7750           0
      23.1500      25.8750           0
      23.1500      25.9750           0
      23.1500      26.0750           0
      23.1500      26.1750           0
      23.1500      26.2750           0
      23.1500      26.3750           0
      23.1500      26.4750           0
      23.1500      26.5750           0
      23.1500      26.6750           0
      23.1500      26.7750           0
      23.1500      26.8750           0
      23.1500      26.9750           0
      23.1500      27.0750           0
      23.1500      27.1750           0
      23.1500      27.2750           0
      23.1500      27.3750           0
      23.1500      27.4750           0
      23.1500      27.5750           0
      23.1500      27.6750           0
      23.1500      27.7750           0
      23.1500      27.8750           0
      23.1500      27.9750           0
      23.1500      28.0750           0
      23.1500      28.1750           0
      23.1500      28.2750           0
      23.1500      28.3750           0
      23.1500      28.4750           0
      23.1500      28.5750           0
      23.1500      28.6750           0
      23.1500      28.7750           0
      23.1500      28.8750           3
      23.1500      28.9750           0
      23.1500      29.0750           1
      23.1500      29.1750           1
      23.1500      29.2750           2
      23.1500      29.3750           1
      23.1500      29.4750           1
      23.1500      29.5750           2
      23.1500      29.6750           1
      23.1500      29.7750           0
      23.1500      29.8750           1
      23.1500      29.9750           1
      23.1500      30.0750           4
      23.1500      30.1750           1
      23.1500      30.2750           3
      23.1500      30.3750           2
      23.1500      30.4750           0
      23.1500      30.5750           2
      23.1500      30.6750           4
      23.1500      30.7750           0
      23.1500      30.8750           0
      23.1500      30.9750           2
      23.1500      31.0750           1
      23.1500      31.1750           0
      23.1500      31.2750           2
      23.1500      31.3750           0
      23.1500      31.4750           0
      23.1500      31.5750           0
      23.1500      31.6750           2
      23.1500      31.7750           4
      23.1500      31.8750           0
      23.1500      31.9750           3
      23.1500      32.0750           0
      23.1500      32.1750           1
      23.1500      32.2750           1
      23.1500      32.3750           0
      23.1500      32.4750           0
      23.1500      32.5750           0
      23.1500      32.6750           0
      23.1500      32.7750           1
      23.1500      32.8750           0
      23.1500      32.9750           1
      23.1500      33.0750           0
      23.1500      33.1750           0
      23.1500      33.2750           0
      23.1500      33.3750           0
      23.1500      33.4750           0
      23.1500      33.5750           0
      23.1500      33.6750           0
      23.1500      33.7750           0
      23.1500      33.8750           0
      23.1500      33.9750           0
      23.1500      34.0750           0
      23.1500      34.1750           0
      23.1500      34.2750           0
      23.1500      34.3750           0
      23.1500      34.4750           0
      23.1500      34.5750           0
      23.1500      34.6750           0
      23.1500      34.7750           0
      23.1500      34.8750           0
      23.1500      34.9750           0
      23.1500      35.0750           0
      23.1500      35.1750           0
      23.1500      35.2750           0
      23.1500      35.3750           0
      23.1500      35.4750           0
      23.1500      35.5750           0
      23.1500      35.6750           0
      23.1500      35.7750           0
      23.1500      35.8750           0
      23.1500      35.9750           0
      23.1500      36.0750           0
      23.1500      36.1750           0
      23.1500      36.2750           0
      23.1500      36.3750           0
      23.1500      36.4750           0
      23.1500      36.5750           0
      23.1500      36.6750           0
      23.1500      36.7750           0
      23.1500      36.8750           0
      23.1500      36.9750           0
      23.1500      37.0750           0
      23.1500      37.1750           0
      23.1500      37.2750           0
      23.1500      37.3750           0
      23.1500      37.4750           0
      23.1500      37.5750           0
      23.1500      37.6750           0
      23.1500      37.7750           0
      23.1500      37.8750           0
      23.1500      37.9750           0
      23.1500      38.0750           0
      23.1500      38.1750           0
      23.1500      38.2750           0
      23.1500      38.3750           0
      23.1500      38.4750           0
      23.1500      38.5750           0
      23.1500      38.6750           0
      23.1500      38.7750           0
      23.1500      38.8750           0
      23.1500      38.9750           0
      23.1500      39.0750           0
      23.1500      39.1750           0
      23.1500      39.2750           0
      23.1500      39.3750           0
      23.1500      39.4750           0
      23.1500      39.5750           0
      23.1500      39.6750           0
      23.1500      39.7750           0
      23.1500      39.8750           0
      23.1500      39.9750           0
      23.2500      20.0750           0
      23.2500      20.1750           0
      23.2500      20.2750           0
      23.2500      20.3750           0
      23.2500      20.4750           0
      23.2500      20.5750           0
      23.2500      20.6750           0
      23.2500      20.7750           0
      23.2500      20.8750           0
      23.2500      20.9750           0
      23.2500      21.0750           0
      23.2500      21.1750           0
      23.2500      21.2750           0
      23.2500      21.3750           0
      23.2500      21.4750           0
      23.2500      21.5750           0
      23.2500      21.6750           0
      23.2500      21.7750           0
      23.2500      21.8750           0
      23.2500      21.9750           0
      23.2500      22.0750           0
      23.2500      22.1750           0
      23.2500      22.2750           0
      23.2500      22.3750           0
      23.2500      22.4750           0
      23.2500      22.5750           0
      23.2500      22.6750           0
      23.2500      22.7750           0
      23.2500      22.8750           0
      23.2500      22.9750           0
      23.2500      23.0750           0
      23.2500      23.1750           0
      23.2500      23.2750           0
      23.2500      23.3750           0
      23.2500      23.4750           0
      23.2500      23.5750           0
      23.2500      23.6750           0
      23.2500      23.7750           0
      23.2500      23.8750           0
      23.2500      23.9750           0
      23.2500      24.0750           0
      23.2500      24.1750           0
      23.2500      24.2750           0
      23.2500      24.3750           0
      23.2500      24.4750           0
      23.2500      24.5750           0
      23.2500      24.6750           0
      23.2500      24.7750           0
      23.2500      24.8750           0
      23.2500      24.9750           0
      23.2500      25.0750           0
      23.2500      25.1750           0
      23.2500      25.2750           0
      23.2500      25.3750           0
      23.2500      25.4750           0
      23.2500      25.5750           0
      23.2500      25.6750           0
      23.2500      25.7750           0
      23.2500      25.8750           0
      23.2500      25.9750           0
      23.2500      26.0750           0
